group;object_id;index;name;req_type;resp_type;unit;description;enum_map
BATTERY_PLACEHOLDER;0xC8E56803;715;battery_placeholder[0].maximum_charge_voltage;FLOAT;FLOAT;V;Max. charge voltage;
BATTERY_PLACEHOLDER;0xC937D38D;716;battery_placeholder[0].stack_cycles[0];UINT16;UINT16;;;
POWER_MNG;0xC9900716;717;power_mng.is_island_only;BOOL;BOOL;;Island without power switch support;
ENERGY;0xC9D76279;718;energy.e_dc_day_sum[0];FLOAT;FLOAT;;;
BATTERY_PLACEHOLDER;0xCA4E0C03;719;battery_placeholder[0].cells_stat[5].u_max.time;UINT32;UINT32;;;
LOGGER;0xCA6D6472;720;logger.day_eload_log_ts;INT32;TIMESERIES;;;
G_SYNC;0xCABC44CA;721;g_sync.s_ac[0];FLOAT;FLOAT;VA;Apparent power phase 1;
IO_BOARD;0xCB1B3B10;722;io_board.io2_s0_min_duration;FLOAT;FLOAT;s;Minimum S0 signal duration on I/O 2;
FRT;0xCB78F611;723;frt.t_max[1];FLOAT;FLOAT;s;Point 2 time;
BATTERY_PLACEHOLDER;0xCB85C397;724;battery_placeholder[0].cells_stat[3].u_min.value;FLOAT;FLOAT;;;
NSM;0xCB9E1E6C;725;nsm.Q_const;FLOAT;FLOAT;var;Q constant value (positive = overexcited);
BATTERY_PLACEHOLDER;0xCBBEEB21;726;battery_placeholder[0].cells_stat[2].u_max.time;UINT32;UINT32;;;
LOGGER;0xCBDAD315;727;logger.minutes_ebat_log_ts;INT32;TIMESERIES;;;
HW_TEST;0xCBEC8200;728;hw_test.timer2;FLOAT;FLOAT;;;
NSM;0xCCB51399;729;nsm.q_u_max_u_low;FLOAT;FLOAT;var;Qmax at lower voltage level (positive = overexcited);
BATTERY_PLACEHOLDER;0xCD8EDAD3;730;battery_placeholder[0].cells_stat[3].t_min.value;FLOAT;FLOAT;;;
POWER_MNG;0xCE266F0F;731;power_mng.soc_min;FLOAT;FLOAT;;Min SOC target;
