group;object_id;index;name;req_type;resp_type;unit;description;enum_map
RB485;0x104EB6A;0;rb485.f_grid[2];FLOAT;FLOAT;Hz;Grid phase 3 frequency;
POWER_MNG;0x11F41DB;1;power_mng.schedule[0];STRING;STRING;;;
GRID_MON;0x16109E1;2;grid_mon[0].u_over.time;FLOAT;FLOAT;s;Max. voltage switch-off time level 1;
BATTERY;0x1676FA6;3;battery.cells_stat[3];BATTERY_MODULE_STATISTICS;BATTERY_MODULE_STATISTICS;;;
CS_NEG;0x19C0B60;4;cs_neg[2];FLOAT;FLOAT;;Multiply value of the current sensor 2 by;
BATTERY_PLACEHOLDER;0x2247588;5;battery_placeholder[0].cells_stat[2].u_min.value;FLOAT;FLOAT;;;
ENERGY;0x31A6110;6;energy.e_ext_month;FLOAT;FLOAT;Wh;External month energy;
BATTERY_PLACEHOLDER;0x35E64EA;7;battery_placeholder[0].module_sn[5];STRING;STRING;;Module 5 Serial Number;
HW_TEST;0x39BDE11;8;hw_test.state;UINT8;UINT8;;;
G_SYNC;0x3A39CA2;9;g_sync.p_ac_load[0];FLOAT;FLOAT;W;Load household phase 1;
BATTERY;0x3D9C51F;10;battery.cells_stat[0].u_max.value;FLOAT;FLOAT;;;
OTHERS;0x40385DB;11;common_control_bits;UINT32;UINT32;;Bit coded function;
BATTERY_PLACEHOLDER;0x48C9D69;12;battery_placeholder[0].cells_stat[1].u_min.value;FLOAT;FLOAT;;;
NSM;0x4EAAA98;13;nsm.f_low_entry;FLOAT;FLOAT;Hz;Entry frequency for P(f) under-frequency mode;
FRT;0x528D1D8;14;frt.u_min[2];FLOAT;FLOAT;V;Point 3 voltage;
BATTERY;0x56162CA;15;battery.cells_stat[4].u_min.time;UINT32;UINT32;;;
BATTERY;0x56417DF;16;battery.cells_stat[3].t_max.index;UINT8;UINT8;;;
HW_TEST;0x58F1759;17;hw_test.bt_power[6];FLOAT;FLOAT;;;
LOGGER;0x5C7CFB1;18;logger.day_egrid_load_log_ts;INT32;TIMESERIES;;;
BATTERY;0x64A60FE;19;battery.cells_stat[4].t_max.index;UINT8;UINT8;;;
LOGGER;0x64E4340;20;logger.minutes_ubat_log_ts;INT32;TIMESERIES;V;;
BATTERY;0x6A9FFA2;21;battery.charged_amp_hours;FLOAT;FLOAT;Ah;Total charge flow into battery;
WIFI;0x6E03755;22;wifi.ip;STRING;STRING;;IP Address;
BATTERY_PLACEHOLDER;0x71B5514;23;battery_placeholder[0].cells_stat[3].t_max.index;UINT8;UINT8;;;
RB485;0x7367B64;24;rb485.phase_marker;INT16;INT16;;Next phase after phase 1 in Power Switch;
BATTERY_PLACEHOLDER;0x73C7E5D;25;battery_placeholder[0].max_cell_temperature;FLOAT;FLOAT;;;
BATTERY_PLACEHOLDER;0x74B1EF5;26;battery_placeholder[0].cells_stat[3].u_max.index;UINT8;UINT8;;;
BATTERY;0x77692DE;27;battery.cells_stat[4].u_max.index;UINT8;UINT8;;;
ADC;0x7C61FAD;28;adc.u_ref_1_5v[0];UINT16;UINT16;V;Reference voltage 1;
NET;0x8679611;29;net.id;UINT32;UINT32;;;
BATTERY;0x86C75B0;30;battery.stack_software_version[3];UINT32;UINT32;;Software version stack 3;
HW_TEST;0x875C906;31;hw_test.bt_time[2];FLOAT;FLOAT;;;
BATTERY_PLACEHOLDER;0x8E81725;32;battery_placeholder[0].cells_stat[0].t_max.value;FLOAT;FLOAT;;;
LOGGER;0x95AFAA8;33;logger.minutes_ul3_log_ts;INT32;TIMESERIES;V;;
BATTERY;0x9923C1E;35;battery.cells_stat[3].t_min.index;UINT8;UINT8;;;
G_SYNC;0xA04CA7F;36;g_sync.u_zk_n_avg;FLOAT;FLOAT;V;Negative buffer capacitor voltage;
P_REC;0xAA372CE;37;p_rec_req[1];FLOAT;FLOAT;W;Required battery to grid power;
ACC_CONV;0xAFDD6CF;38;acc_conv.i_acc_lp_fast;FLOAT;FLOAT;A;Battery current;
BATTERY_PLACEHOLDER;0xB94A673;39;battery_placeholder[0].cells_stat[6].t_min.time;UINT32;UINT32;;;
WIFI;0xBA16A10;40;wifi.sockb_protocol;ENUM;ENUM;;Network mode of the unit: 0 = standalone, 1 = master unit, 2 = slave unit;
BATTERY_PLACEHOLDER;0xC2A7286;41;battery_placeholder[0].cells_resist[0];STRING;STRING;;;
NET;0xC3815C2;42;net.load_reduction;FLOAT;FLOAT;;;
ENERGY;0xC588B75;43;energy.e_ext_day_sum;FLOAT;FLOAT;;;
DC_CONV;0xCB5D21B;44;dc_conv.dc_conv_struct[1].p_dc_lp;FLOAT;FLOAT;W;Solar generator B power;
NSM;0xCBA34B9;45;nsm.u_q_u[3];FLOAT;FLOAT;V;High voltage max. point;
OTHERS;0xCC4BDAA;46;detect_phase_shift_enable;BOOL;BOOL;;Enable active island detection;
BATTERY;0xCFA8BC4;47;battery.stack_cycles[1];UINT16;UINT16;;;
OTHERS;0xD658831;48;i_bottom_max;FLOAT;FLOAT;;;
BATTERY;0xDACF21B;49;battery.cells_stat[4];BATTERY_MODULE_STATISTICS;BATTERY_MODULE_STATISTICS;;;
BATTERY_PLACEHOLDER;0xDBD5E77;50;battery_placeholder[0].cells_stat[6].u_min.index;UINT8;UINT8;;;
BATTERY;0xDE3D20D;51;battery.status2;INT32;INT32;;Battery extra status;
LOGGER;0xDF164DE;52;logger.day_eb_log_ts;INT32;TIMESERIES;;;
IO_BOARD;0xDF45696;53;io_board.io1_polarity;BOOL;BOOL;;Inverted signal on input I/O 1;
FLASH_RTC;0xE0505B4;54;flash_rtc.time_stamp_set;UINT32;UINT32;;Set date/time;
BATTERY_PLACEHOLDER;0xE4AA301;55;battery_placeholder[0].cells_stat[6].u_max.index;UINT8;UINT8;;;
IO_BOARD;0xE799A56;56;io_board.rse_table[0];FLOAT;FLOAT;;K4..K1: 0000;
BATTERY_PLACEHOLDER;0xEC64BA7;57;battery_placeholder[0].stack_software_version[3];UINT32;UINT32;;Software version stack 3;
BATTERY;0xEF60C7E;58;battery.cells_stat[3].u_max.value;FLOAT;FLOAT;;;
ENERGY;0xF28E2E1;59;energy.e_ext_total_sum;FLOAT;FLOAT;;;
LOGGER;0xFA29566;60;logger.minutes_ub_log_ts;INT32;TIMESERIES;V;Histogram voltage generator B;
IO_BOARD;0xFB40090;61;io_board.check_rs485_result;UINT8;UINT8;;;
BATTERY_PLACEHOLDER;0x1025B491;62;battery_placeholder[0].maximum_discharge_current;FLOAT;FLOAT;A;Max. discharge current;
NSM;0x10842019;63;nsm.cos_phi_p[3][1];FLOAT;FLOAT;cos(rct_db);Point 4 (positive = overexcited);
NSM;0x1089ACA9;64;nsm.u_q_u[0];FLOAT;FLOAT;V;Low voltage min. point;
OTHERS;0x108FC93D;65;max_phase_shift;FLOAT;FLOAT;degrees;Max. phase shift from 120 position;
ENERGY;0x10970E9D;66;energy.e_ac_month;FLOAT;FLOAT;Wh;Month energy;
POWER_MNG;0x1156DFD0;67;power_mng.battery_power;FLOAT;FLOAT;W;Battery discharge power;
BATTERY;0x120EC3B4;68;battery.cells_stat[4].u_min.index;UINT8;UINT8;;;
ENERGY;0x126ABC86;69;energy.e_grid_load_month;FLOAT;FLOAT;Wh;Month energy grid load;
LOGGER;0x132AA71E;70;logger.minutes_temp2_log_ts;INT32;TIMESERIES;°C;Histogram heat sink (battery actuator) temperature;
BATTERY;0x1348AB07;71;battery.cells[4];BATTERY_MODULE_STATUS;BATTERY_MODULE_STATUS;;;
G_SYNC;0x147E8E26;72;g_sync.p_ac[1];FLOAT;FLOAT;;AC2;
WIFI;0x14C0E627;73;wifi.password;STRING;STRING;;WiFi password;
NSM;0x14FCA232;74;nsm.rpm_lock_out_power;FLOAT;FLOAT;P/Pn;Reactive Power Mode lock-out power;
POWER_MNG;0x15AB1A61;75;power_mng.schedule[2];STRING;STRING;;;
BATTERY;0x162491E8;76;battery.module_sn[5];STRING;STRING;;Module 5 Serial Number;
BATTERY_PLACEHOLDER;0x1639B2D8;77;battery_placeholder[0].cells_stat[4].u_max.index;UINT8;UINT8;;;
BATTERY;0x16A1F844;78;battery.bms_sn;STRING;STRING;;BMS Serial Number;
DB;0x16AF2A92;79;db.power_board.Current_Mean;FLOAT;FLOAT;;;
ADC;0x16B28CCA;80;adc.u_ref_1_5v[1];UINT16;UINT16;V;Reference voltage 2;
PARTITION;0x16ED8F8F;81;partition[1].last_id;INT32;INT32;;;
RB485;0x173D81E4;82;rb485.version_boot;UINT32;UINT32;;Power Switch bootloader version;
BATTERY_PLACEHOLDER;0x1781CD31;83;battery_placeholder[0].soh;FLOAT;FLOAT;;SOH (State of Health);
DB;0x17E3AF97;84;db.power_board.adc_p9V_meas;FLOAT;FLOAT;;;
BATTERY_PLACEHOLDER;0x18469762;85;battery_placeholder[0].cells_stat[0].u_max.value;FLOAT;FLOAT;;;
BATTERY_PLACEHOLDER;0x18BD807D;86;battery_placeholder[0].cells_stat[4].t_min.index;UINT8;UINT8;;;
BATTERY;0x18D1E9E0;87;battery.cells_stat[5].u_max.index;UINT8;UINT8;;;
BATTERY;0x18F98B6D;88;battery.cells_stat[3].u_min.value;FLOAT;FLOAT;;;
OTHERS;0x19608C98;89;partition[3].last_id;INT32;INT32;;;
LOGGER;0x19B814F2;90;logger.year_egrid_feed_log_ts;INT32;TIMESERIES;;;
P_REC;0x1ABA3EE8;91;p_rec_req[0];FLOAT;FLOAT;W;Required compensation power;
G_SYNC;0x1AC87AA0;92;g_sync.p_ac_load_sum_lp;FLOAT;FLOAT;W;Load household - external Power;
BATTERY;0x1B39A3A3;93;battery.bms_power_version;UINT32;UINT32;;Software version BMS Power;
IO_BOARD;0x1B5445C4;94;io_board.check_rse_result;UINT16;UINT16;;;
ENERGY;0x1BFA5A33;95;energy.e_grid_load_total_sum;FLOAT;FLOAT;;;
OTHERS;0x1C4A665F;96;grid_pll[0].f;FLOAT;FLOAT;Hz;Grid frequency;
WIFI;0x1D0623D6;97;wifi.dns_address;STRING;STRING;;DNS address;
POWER_MNG;0x1D2994EA;98;power_mng.soc_charge_power;FLOAT;FLOAT;W;Maintenance charge power;
LOGGER;0x1D49380A;99;logger.minutes_eb_log_ts;INT32;TIMESERIES;;;
BATTERY_PLACEHOLDER;0x1D83D2A5;100;battery_placeholder[0].cells[4];STRING;STRING;;;
BATTERY_PLACEHOLDER;0x1E0EB397;101;battery_placeholder[0].cells_stat[6].u_max.value;FLOAT;FLOAT;;;
BATTERY;0x1E5FCA70;102;battery.maximum_charge_current;FLOAT;FLOAT;A;Max. charge current;
BATTERY_PLACEHOLDER;0x1F44C23A;103;battery_placeholder[0].cells_stat[1].t_min.index;UINT8;UINT8;;;
BATTERY;0x1F73B6A4;104;battery.cells_stat[3].t_max.time;UINT32;UINT32;;;
DB;0x1F9CBBF2;105;db.power_board.Calibr_Value_Mean;FLOAT;FLOAT;;;
BATTERY_PLACEHOLDER;0x1FA192E3;106;battery_placeholder[0].cells_resist[4];STRING;STRING;;;
BATTERY_PLACEHOLDER;0x1FB3A602;107;battery_placeholder[0].cells_stat[2].t_max.value;FLOAT;FLOAT;;;
SWITCH_ON_COND;0x1FEB2F67;108;switch_on_cond.u_min;FLOAT;FLOAT;;Min. voltage;
HW_TEST;0x2082BFB6;109;hw_test.bt_time[9];FLOAT;FLOAT;;;
BATTERY_PLACEHOLDER;0x20A3A91F;110;battery_placeholder[0].module_sn[4];STRING;STRING;;Module 4 Serial Number;
PRIM_SM;0x20FD4419;111;prim_sm.island_next_repeat_timeout;FLOAT;FLOAT;s;Next island trial timeout;
LOGGER;0x21879805;112;logger.minutes_eac1_log_ts;INT32;TIMESERIES;;;
BATTERY;0x21961B58;113;battery.current;FLOAT;FLOAT;A;Battery current;
ENERGY;0x21E1A802;114;energy.e_dc_month_sum[1];FLOAT;FLOAT;;;
RB485;0x21EE7CBB;115;rb485.u_l_grid[2];FLOAT;FLOAT;V;Grid phase 3 voltage;
FLASH_RTC;0x2266DCB8;116;flash_rtc.rtc_mcc_quartz_max_diff;FLOAT;FLOAT;ppm;Maximum allowed quartz frequency difference between RTC and Microcontroller;
DC_CONV;0x226A23A4;117;dc_conv.dc_conv_struct[0].u_target;FLOAT;FLOAT;V;MPP on input A;
BATTERY_PLACEHOLDER;0x2295401F;118;battery_placeholder[0].cells_stat[3].u_max.time;UINT32;UINT32;;;
FRT;0x22CC80C6;119;frt.u_min_end;FLOAT;FLOAT;V;FRT end undervoltage threshold;
FAULT;0x234B4736;120;fault[1].flt;UINT32;UINT32;;Error bit field 2;
SWITCH_ON_COND;0x234DD4DF;121;switch_on_cond.f_min;FLOAT;FLOAT;;Min. frequency;
BATTERY_PLACEHOLDER;0x235E0DF5;122;battery_placeholder[0].stack_software_version[1];UINT32;UINT32;;Software version stack 1;
FRT;0x236D2178;123;frt.t_min[1];FLOAT;FLOAT;s;Point 2 time;
BATTERY_PLACEHOLDER;0x23D4A386;124;battery_placeholder[0].cells_stat[0];STRING;STRING;;;
BATTERY;0x23E55DA0;125;battery.cells_stat[5];BATTERY_MODULE_STATISTICS;BATTERY_MODULE_STATISTICS;;;
NET;0x23F525DE;126;net.command;UINT16;UINT16;;;
G_SYNC;0x24150B85;127;g_sync.u_zk_sum_mov_avg;FLOAT;FLOAT;V;Actual DC link voltage;
BATTERY_PLACEHOLDER;0x241CFA0A;128;battery_placeholder[0].min_cell_temperature;FLOAT;FLOAT;;;
ENERGY;0x241F1F98;129;energy.e_dc_day_sum[1];FLOAT;FLOAT;;;
BATTERY_PLACEHOLDER;0x24AC4CBB;130;battery_placeholder[0].cells_resist[6];STRING;STRING;;;
G_SYNC;0x2545E22D;131;g_sync.u_l_rms[2];FLOAT;FLOAT;V;AC voltage phase 3;
BATTERY;0x257B5945;132;battery.cells_stat[2].u_min.index;UINT8;UINT8;;;
BATTERY;0x257B7612;133;battery.module_sn[3];STRING;STRING;;Module 3 Serial Number;
NSM;0x26260419;134;nsm.cos_phi_p[1][0];FLOAT;FLOAT;P/Pn;Point 2;
BATTERY;0x26363AAE;135;battery.cells_stat[1].t_max.index;UINT8;UINT8;;;
BATTERY;0x265EACF6;136;battery.cells_stat[2].t_max.time;UINT32;UINT32;;;
ENERGY;0x26EFFC2F;137;energy.e_grid_feed_year;FLOAT;FLOAT;Wh;Year energy grid feed-in;
OTHERS;0x2703A771;138;cs_struct.is_tuned;BOOL;BOOL;;Current sensors are tuned;
BATTERY_PLACEHOLDER;0x27116260;139;battery_placeholder[0].cells_stat[5].u_min.value;FLOAT;FLOAT;;;
RB485;0x27650FE2;140;rb485.version_main;UINT32;UINT32;;Power Switch software version;
G_SYNC;0x2788928C;141;g_sync.p_ac_load[1];FLOAT;FLOAT;W;Load household phase 2;
G_SYNC;0x27BE51D9;142;g_sync.p_ac_sc[0];FLOAT;FLOAT;W;Grid power phase 1;
BATTERY;0x27C39CEA;143;battery.stack_cycles[6];UINT16;UINT16;;;
ENERGY;0x27C828F4;144;energy.e_grid_feed_total_sum;FLOAT;FLOAT;;;
OTHERS;0x27EC8487;145;performance_free[0];UINT32;UINT32;;;
OTHERS;0x2848A1EE;146;grid_offset;FLOAT;FLOAT;;;
DISPLAY_STRUCT;0x29BDA75F;147;display_struct.brightness;UINT8;UINT8;;Display brightness, [0..255];
IO_BOARD;0x29CA60F8;148;io_board.rse_table[10];FLOAT;FLOAT;;K4..K1: 1010;
BATTERY;0x2A30A97E;149;battery.stack_cycles[5];UINT16;UINT16;;;
LOGGER;0x2A449E89;150;logger.year_log_ts;INT32;TIMESERIES;;;
BATTERY;0x2AACCAA7;151;battery.max_cell_voltage;FLOAT;FLOAT;;;
ENERGY;0x2AE703F2;152;energy.e_dc_day[0];FLOAT;FLOAT;Wh;Solar generator A day energy;
BATTERY;0x2BC1E72B;153;battery.discharged_amp_hours;FLOAT;FLOAT;Ah;Total charge flow from battery;
NET;0x2E06172D;154;net.net_tunnel_id;UINT32;UINT32;;;
IO_BOARD;0x2E0C6220;155;io_board.home_relay_sw_off_delay;FLOAT;FLOAT;s;Switching off delay;
BATTERY_PLACEHOLDER;0x2E9F3C50;156;battery_placeholder[0].cells_stat[0].t_max.index;UINT8;UINT8;;;
DB;0x2ED89924;157;db.power_board.afi_t300;FLOAT;FLOAT;s;AFI 300 mA switching off time;
BATTERY_PLACEHOLDER;0x2ED8A639;158;battery_placeholder[0].cells_stat[2].u_min.time;UINT32;UINT32;;;
LOGGER;0x2F0A6B15;159;logger.month_ea_log_ts;INT32;TIMESERIES;;;
ENERGY;0x2F3C1D7D;160;energy.e_load_day;FLOAT;FLOAT;Wh;Household day energy;
BATTERY_PLACEHOLDER;0x2F84A0A9;161;battery_placeholder[0].cells[2];STRING;STRING;;;
GRID_MON;0x3044195F;162;grid_mon[1].u_under.time;FLOAT;FLOAT;s;Min. voltage switch-off time level 2;
BATTERY_PLACEHOLDER;0x31413485;163;battery_placeholder[0].cells_stat[5].u_min.index;UINT8;UINT8;;;
BATTERY_PLACEHOLDER;0x314C13EB;164;battery_placeholder[0].cells_stat[5].u_max.value;FLOAT;FLOAT;;;
POWER_MNG;0x315D1490;165;power_mng.bat_empty_full;UINT8;UINT8;;Bit 0 - battery was empty, bit 1 - battery was full;
MODBUS;0x31ED1B75;166;modbus.mode;ENUM;ENUM;;RS485 working mode;0=Modbus slave|1=Modbus master
NSM;0x32CD0DB3;167;nsm.cos_phi_p[0][1];FLOAT;FLOAT;cos(Phi);Point 1 (positive = overexcited);
FRT;0x32DCA605;168;frt.u_max[0];FLOAT;FLOAT;V;Point 1 voltage;
BATTERY;0x331D0689;169;battery.cells_stat[2].t_max.value;FLOAT;FLOAT;;;
BATTERY;0x336415EA;170;battery.cells_stat[0].t_max.time;UINT32;UINT32;;;
SWITCH_ON_COND;0x3390CC2F;171;switch_on_cond.test_time_fault;FLOAT;FLOAT;s;Switching on time after any grid fault;
NSM;0x33F76B78;172;nsm.p_u[0][1];FLOAT;FLOAT;V;Point 1 voltage;
BATTERY;0x34A164E7;173;battery.cells_stat[0];BATTERY_MODULE_STATISTICS;BATTERY_MODULE_STATISTICS;;;
BATTERY;0x34E33726;174;battery.cells_stat[2].u_max.index;UINT8;UINT8;;;
LOGGER;0x34ECA9CA;175;logger.year_eb_log_ts;INT32;TIMESERIES;;;
NET;0x3500F1E8;176;net.index;INT8;INT8;;;
BATTERY;0x3503B92D;177;battery.cells_stat[3].u_max.time;UINT32;UINT32;;;
NSM;0x3515F4A0;178;nsm.p_u[3][1];FLOAT;FLOAT;V;Point 4 voltage;
NSM;0x360BDE8A;179;nsm.startup_grad;FLOAT;FLOAT;P/(Pn*s);Startup gradient;
NET;0x36214C57;180;net.prev_k;FLOAT;FLOAT;;;
SWITCH_ON_COND;0x362346D4;181;switch_on_cond.max_rnd_test_time_fault;FLOAT;FLOAT;s;Max additional random switching on time after any grid fault;
PRIM_SM;0x3623D82A;182;prim_sm.island_flag;UINT16;UINT16;;Grid-separated;
P_REC;0x365D12DA;183;p_rec_req[2];FLOAT;FLOAT;W;Required Pac;
POWER_MNG;0x36A9E9A6;184;power_mng.use_grid_power_enable;BOOL;BOOL;;Utilize external Inverter energy;
BATTERY_PLACEHOLDER;0x374B5DD6;185;battery_placeholder[0].cells_stat[6].u_min.time;UINT32;UINT32;;;
FAULT;0x37F9D5CA;186;fault[0].flt;UINT32;UINT32;;Error bit field 1;
BATTERY;0x381B8BF9;187;battery.soh;FLOAT;FLOAT;%;SOH (State of Health);
DB;0x383A3614;188;db.power_board.afi_i60;FLOAT;FLOAT;A;AFI 60 mA threshold;
NSM;0x38789061;189;nsm.f_low_rise_grad_storage;FLOAT;FLOAT;1/Pn*Hz;Power rise gradient for P(f) under-frequency mode with battery;
FLASH_RTC;0x3903A5E9;190;flash_rtc.flag_time_auto_switch;BOOL;BOOL;;Automatically adjust clock for daylight saving time;
LOGGER;0x3906A1D0;191;logger.minutes_eext_log_ts;INT32;TIMESERIES;;;
BATTERY_PLACEHOLDER;0x39AD4639;193;battery_placeholder[0].cells_stat[5].u_min.time;UINT32;UINT32;;;
OTHERS;0x3A0EA5BE;194;power_spring_up;FLOAT;FLOAT;;;
GRID_LT;0x3A3050E6;195;grid_lt.threshold;FLOAT;FLOAT;V;Max. voltage;
BATTERY_PLACEHOLDER;0x3A35D491;196;battery_placeholder[0].cells_stat[2].u_max.value;FLOAT;FLOAT;;;
G_SYNC;0x3A444FC6;197;g_sync.s_ac_lp[0];FLOAT;FLOAT;VA;Apparent power phase 1;
BATTERY;0x3A7D5F53;198;battery.cells_stat[1].u_max.value;FLOAT;FLOAT;;;
ENERGY;0x3A873343;199;energy.e_ac_day_sum;FLOAT;FLOAT;;;
ENERGY;0x3A9D2680;200;energy.e_ext_year_sum;FLOAT;FLOAT;;;
NET;0x3AA565FC;201;net.package;UNKNOWN;UNKNOWN;;;
PRIM_SM;0x3AFEF139;202;prim_sm.is_thin_layer;BOOL;BOOL;;Thin-film solar module;
BAT_MNG_STRUCT;0x3B0C6A53;203;bat_mng_struct.profile_pdc_max;STRING;STRING;;;
RB485;0x3B5F6B9D;204;rb485.f_wr[0];FLOAT;FLOAT;Hz;Power Storage phase 1 frequency;
FAULT;0x3B7FCD47;205;fault[2].flt;UINT32;UINT32;;Error bit field 3;
BATTERY;0x3BA1B77B;206;battery.cells_stat[3].t_min.value;FLOAT;FLOAT;;;
OTHERS;0x3C24F3E8;207;inv_struct.cosinus_phi;FLOAT;FLOAT;cos(Phi);;
IO_BOARD;0x3C705F61;208;io_board.rse_table[8];FLOAT;FLOAT;;K4..K1: 1000;
ENERGY;0x3C87C4F5;209;energy.e_grid_feed_day;FLOAT;FLOAT;Wh;Day energy grid feed-in;
HW_TEST;0x3CA8E8D0;210;hw_test.bt_time[0];FLOAT;FLOAT;;;
GRID_MON;0x3CB1EF01;211;grid_mon[0].u_under.threshold;FLOAT;FLOAT;V;Min. voltage level 1;
HW_TEST;0x3D789979;212;hw_test.bt_power[7];FLOAT;FLOAT;;;
IO_BOARD;0x3DBCC6B4;213;io_board.rse_table[6];FLOAT;FLOAT;;K4..K1: 0110;
BAT_MNG_STRUCT;0x3E25C391;214;bat_mng_struct.bat_calib_soc_thresh;FLOAT;FLOAT;;Part of max historical SOC for battery calibration in advance;
GRID_MON;0x3E722B43;215;grid_mon[1].f_under.threshold;FLOAT;FLOAT;Hz;Min. frequency level 2;
OTHERS;0x3E728842;216;power_spring_bat;FLOAT;FLOAT;;;
DB;0x3EFEB931;217;db.power_board.relays_state;UINT16;UINT16;;;
BATTERY;0x3F98F58A;218;battery.cells_stat[5].t_max.index;UINT8;UINT8;;;
G_SYNC;0x400F015B;219;g_sync.p_acc_lp;FLOAT;FLOAT;W;Battery power;
G_SYNC;0x4077335D;220;g_sync.s_ac_lp[1];FLOAT;FLOAT;VA;Apparent power phase 2;
POWER_MNG;0x40B07CA4;968;power_mng.schedule[3]??;STRING;STRING;;;
POWER_MNG;0x40B07CA4;221;power_mng.schedule[6];STRING;STRING;;;
BATTERY;0x40FF01B7;222;battery.cells[6];BATTERY_MODULE_STATUS;BATTERY_MODULE_STATUS;;;
FRT;0x41744E11;223;frt.u_min[0];FLOAT;FLOAT;V;Point 1 voltage;
BATTERY;0x41B11ECF;224;battery.cells_stat[3].u_min.index;UINT8;UINT8;;;
BATTERY;0x428CCF46;225;battery.cells_stat[5].u_min.value;FLOAT;FLOAT;;;
LOGGER;0x431509D1;226;logger.month_eload_log_ts;INT32;TIMESERIES;;;
G_SYNC;0x43257820;227;g_sync.p_ac[0];FLOAT;FLOAT;;AC1;
RB485;0x437B8122;228;rb485.available;BOOL;BOOL;;Power Switch is available;
NSM;0x4397D078;229;nsm.cos_phi_p[1][1];FLOAT;FLOAT;cos(Phi);Point 2 (positive = overexcited);
NSM;0x43CD0B6F;230;nsm.pf_delay;FLOAT;FLOAT;s;Delay time after P(f);
FLASH_PARAM;0x43F16F7E;231;flash_state;UINT16;UINT16;;Flash state;
DB;0x43FF47C3;232;db.power_board.afi_t60;FLOAT;FLOAT;s;AFI 60 mA switching off time;
BATTERY;0x442A3409;233;battery.cells_stat[4].t_min.time;UINT32;UINT32;;;
BATTERY;0x4443C661;234;battery.cells_stat[0].t_max.index;UINT8;UINT8;;;
ENERGY;0x44D4C533;235;energy.e_grid_feed_total;FLOAT;FLOAT;Wh;Total energy grid feed-in;
CAN_BUS;0x4539A6D4;236;can_bus.bms_update_response[0];UINT32;UINT32;;;
BATTERY_PLACEHOLDER;0x465DDB50;237;battery_placeholder[0].cells_stat[2].t_min.value;FLOAT;FLOAT;;;
NET;0x46635546;238;net.n_descendants;INT8;INT8;;Number of descendant slaves;
BATTERY_PLACEHOLDER;0x4686E044;239;battery_placeholder[0].cells_stat[1].u_min.index;UINT8;UINT8;;;
FLASH_PARAM;0x46892579;240;flash_param.write_cycles;UINT32;UINT32;;Write cycles of flash parameters;
BATTERY_PLACEHOLDER;0x46C3625D;241;battery_placeholder[0].cells_stat[2];STRING;STRING;;;
ISO_STRUCT;0x474F80D5;242;iso_struct.Rn;FLOAT;FLOAT;Ohm;Insulation resistance on negative DC input;
BATTERY_PLACEHOLDER;0x4764F9EE;243;battery_placeholder[0].cells_stat[3].t_max.value;FLOAT;FLOAT;;;
POWER_MNG;0x47A1DACA;971;power_mng.schedule[5]??;STRING;STRING;;;
POWER_MNG;0x47A1DACA;244;power_mng.schedule[8];STRING;STRING;;;
G_SYNC;0x485AD749;245;g_sync.u_ptp_rms[1];FLOAT;FLOAT;V;Phase to phase voltage 2;
LOGGER;0x488052BA;246;logger.minutes_ul2_log_ts;INT32;TIMESERIES;V;;
G_SYNC;0x48D73FA5;247;g_sync.i_dr_lp[2];FLOAT;FLOAT;A;Current phase 3 (average);
OTHERS;0x494FE156;248;power_spring_offset;FLOAT;FLOAT;;;
ENERGY;0x495BF0B6;249;energy.e_dc_year_sum[0];FLOAT;FLOAT;;;
OTHERS;0x4992E65A;250;update_is_allowed_id;UINT8;UINT8;;;
NSM;0x4A61BAEE;251;nsm.p_u[3][0];FLOAT;FLOAT;P/Pn;Point 4 P/Pn;
BATTERY_PLACEHOLDER;0x4AAEB0D2;252;battery_placeholder[0].cells_stat[1];STRING;STRING;;;
DC_CONV;0x4AE96C12;253;dc_conv.dc_conv_struct[1].mpp.mpp_step;FLOAT;FLOAT;V;MPP search step on input B;
BATTERY;0x4B51A539;254;battery.prog_sn;STRING;STRING;;;
BUF_V_CONTROL;0x4BC0F974;255;buf_v_control.power_reduction_max_solar;FLOAT;FLOAT;Wp;Solar plant peak power;
ENERGY;0x4BE02BB7;256;energy.e_load_day_sum;FLOAT;FLOAT;;;
CS_NEG;0x4C12C4C7;257;cs_neg[1];FLOAT;FLOAT;;Multiply value of the current sensor 1 by;
LOGGER;0x4C14CC7C;258;logger.year_ea_log_ts;INT32;TIMESERIES;;;
NSM;0x4C2A7CDC;259;nsm.cos_phi_p[2][1];FLOAT;FLOAT;cos(Phi);Point 3 (positive = overexcited);
NSM;0x4C374958;260;nsm.startup_grad_after_fault;FLOAT;FLOAT;P/(Pn*s);Startup gradient after fault;
BATTERY;0x4CB7C0DC;261;battery.min_cell_voltage;FLOAT;FLOAT;;;
BATTERY_PLACEHOLDER;0x4D684EF2;262;battery_placeholder[0].cells[0];STRING;STRING;;;
BATTERY;0x4D985F33;263;battery.cells_stat[5].u_max.value;FLOAT;FLOAT;;;
SWITCH_ON_COND;0x4DB1B91E;264;switch_on_cond.f_max;FLOAT;FLOAT;;Max. frequency;
BATTERY_PLACEHOLDER;0x4DC372A0;265;battery_placeholder[0].cells_stat[4].u_max.value;FLOAT;FLOAT;;;
BATTERY;0x4E04DD55;266;battery.soc_update_since;FLOAT;FLOAT;;;
